iter	Passed	Remaining
0	57	57349
1	59	29876
2	61	20560
3	64	15947
4	68	13601
5	73	12212
6	76	10786
7	78	9697
8	80	8847
9	82	8187
10	85	7657
11	87	7223
12	90	6838
13	93	6582
14	96	6350
15	99	6090
16	101	5855
17	103	5649
18	105	5459
19	107	5291
20	112	5224
21	115	5131
22	118	5048
23	121	4926
24	123	4816
25	126	4736
26	128	4648
27	131	4562
28	133	4474
29	135	4396
30	138	4324
31	140	4256
32	144	4230
33	147	4186
34	149	4116
35	151	4044
36	153	3985
37	156	3952
38	160	3943
39	166	3985
40	171	4017
41	174	3978
42	178	3970
43	181	3947
44	184	3911
45	186	3874
46	189	3834
47	191	3795
48	194	3767
49	196	3726
50	198	3689
51	200	3652
52	203	3632
53	205	3603
54	212	3654
55	216	3650
56	221	3659
57	223	3635
58	229	3661
59	234	3676
60	238	3678
61	242	3662
62	245	3644
63	248	3637
64	251	3618
65	254	3606
66	258	3594
67	261	3589
68	266	3596
69	268	3571
70	276	3613
71	281	3627
72	286	3640
73	292	3656
74	299	3697
75	304	3705
76	307	3686
77	310	3670
78	313	3655
79	316	3641
80	325	3698
81	332	3724
82	335	3710
83	340	3707
84	350	3770
85	356	3786
86	362	3799
87	377	3909
88	382	3919
89	386	3903
90	392	3924
91	395	3908
92	403	3936
93	409	3948
94	414	3945
95	423	3986
96	449	4188
97	456	4199
98	462	4206
99	465	4188
100	468	4173
101	473	4165
102	487	4247
103	496	4280
104	503	4293
105	510	4309
106	516	4312
107	522	4315
108	528	4316
109	534	4328
110	547	4385
111	553	4386
112	556	4367
113	562	4371
114	567	4364
115	570	4347
116	575	4342
117	577	4318
118	585	4331
119	592	4344
120	599	4355
121	606	4362
122	609	4343
123	612	4324
124	615	4306
125	621	4310
126	626	4308
127	630	4293
128	635	4289
129	638	4273
130	641	4255
131	644	4239
132	651	4249
133	666	4304
134	670	4296
135	673	4280
136	697	4396
137	702	4389
138	705	4372
139	716	4399
140	727	4433
141	737	4456
142	743	4453
143	746	4436
144	755	4457
145	761	4452
146	770	4468
147	776	4467
148	782	4467
149	789	4474
150	796	4480
151	803	4483
152	809	4480
153	814	4474
154	826	4507
155	832	4505
156	840	4511
157	843	4495
158	846	4479
159	849	4461
160	856	4464
161	874	4523
162	882	4533
163	891	4546
164	897	4540
165	902	4536
166	906	4519
167	909	4502
168	916	4507
169	923	4506
170	926	4489
171	931	4486
172	946	4522
173	953	4525
174	958	4520
175	961	4503
176	965	4489
177	969	4476
178	975	4473
179	980	4467
180	987	4466
181	991	4458
182	995	4442
183	998	4426
184	1003	4420
185	1016	4446
186	1020	4438
187	1026	4434
188	1037	4453
189	1043	4447
190	1048	4443
191	1054	4439
192	1062	4441
193	1068	4440
194	1071	4424
195	1075	4411
196	1079	4400
197	1082	4386
198	1085	4370
199	1091	4365
200	1098	4366
201	1104	4361
202	1108	4351
203	1111	4336
204	1115	4326
205	1122	4324
206	1126	4315
207	1129	4302
208	1131	4280
209	1134	4266
210	1141	4268
211	1146	4260
212	1149	4246
213	1156	4249
214	1163	4248
215	1168	4241
216	1175	4241
217	1185	4251
218	1190	4246
219	1198	4249
220	1201	4236
221	1205	4223
222	1210	4217
223	1217	4219
224	1224	4216
225	1228	4209
226	1234	4203
227	1237	4191
228	1245	4192
229	1252	4193
230	1261	4198
231	1264	4185
232	1267	4172
233	1274	4170
234	1278	4161
235	1282	4150
236	1286	4141
237	1289	4129
238	1294	4121
239	1300	4118
240	1305	4110
241	1308	4097
242	1313	4092
243	1321	4093
244	1326	4086
245	1329	4074
246	1332	4062
247	1336	4052
248	1342	4048
249	1347	4043
250	1351	4033
251	1355	4022
252	1358	4010
253	1365	4009
254	1368	3999
255	1384	4023
256	1387	4012
257	1390	3999
258	1395	3992
259	1400	3987
260	1404	3976
261	1410	3972
262	1418	3975
263	1422	3965
264	1427	3958
265	1429	3945
266	1431	3928
267	1433	3915
268	1436	3903
269	1441	3896
270	1448	3896
271	1453	3890
272	1456	3879
273	1459	3867
274	1465	3862
275	1487	3901
276	1506	3932
277	1520	3949
278	1529	3951
279	1534	3944
280	1537	3933
281	1547	3939
282	1551	3930
283	1554	3919
284	1562	3919
285	1566	3910
286	1572	3905
287	1577	3899
288	1586	3902
289	1601	3919
290	1615	3937
291	1620	3928
292	1625	3922
293	1631	3917
294	1634	3907
295	1639	3899
296	1640	3883
297	1647	3881
298	1651	3872
299	1654	3861
300	1661	3858
301	1666	3852
302	1676	3857
303	1680	3846
304	1687	3845
305	1692	3838
306	1695	3827
307	1700	3821
308	1706	3816
309	1719	3827
310	1727	3826
311	1733	3823
312	1736	3812
313	1740	3801
314	1744	3794
315	1752	3793
316	1767	3808
317	1773	3802
318	1780	3800
319	1786	3795
320	1792	3792
321	1799	3789
322	1801	3775
323	1806	3769
324	1813	3766
325	1819	3760
326	1822	3750
327	1830	3749
328	1833	3740
329	1842	3740
330	1848	3735
331	1863	3749
332	1871	3748
333	1885	3759
334	1893	3758
335	1900	3755
336	1907	3752
337	1911	3744
338	1917	3738
339	1924	3736
340	1929	3728
341	1932	3717
342	1935	3707
343	1943	3705
344	1950	3702
345	1960	3706
346	1964	3696
347	1976	3703
348	1982	3697
349	1986	3688
350	1993	3686
351	2000	3683
352	2006	3677
353	2009	3666
354	2012	3656
355	2024	3662
356	2030	3656
357	2035	3650
358	2040	3643
359	2044	3634
360	2047	3623
361	2054	3621
362	2064	3622
363	2067	3612
364	2071	3604
365	2079	3601
366	2083	3592
367	2086	3582
368	2090	3575
369	2099	3574
370	2106	3571
371	2112	3565
372	2116	3557
373	2119	3548
374	2123	3538
375	2130	3535
376	2136	3530
377	2141	3523
378	2146	3516
379	2149	3507
380	2152	3497
381	2157	3490
382	2160	3480
383	2163	3470
384	2169	3465
385	2175	3459
386	2178	3450
387	2181	3440
388	2184	3430
389	2193	3431
390	2200	3427
391	2203	3418
392	2207	3408
393	2213	3404
394	2215	3393
395	2217	3381
396	2220	3372
397	2222	3361
398	2226	3353
399	2232	3348
400	2238	3344
401	2242	3335
402	2249	3333
403	2255	3326
404	2262	3323
405	2266	3315
406	2270	3308
407	2277	3305
408	2284	3301
409	2287	3291
410	2290	3282
411	2293	3272
412	2296	3263
413	2298	3253
414	2300	3243
415	2306	3237
416	2309	3228
417	2313	3220
418	2317	3214
419	2320	3205
420	2325	3197
421	2328	3189
422	2331	3180
423	2334	3171
424	2337	3163
425	2344	3159
426	2351	3155
427	2358	3152
428	2366	3149
429	2371	3143
430	2373	3133
431	2377	3125
