iter	Passed	Remaining
0	57	57055
1	58	29331
2	60	20064
3	61	15404
4	64	12742
5	65	10862
6	66	9491
7	68	8486
8	70	7732
9	71	7107
10	73	6594
11	75	6217
12	77	5860
13	78	5549
14	80	5271
15	81	5041
16	82	4758
17	83	4573
18	85	4407
19	86	4262
20	88	4124
21	90	4002
22	91	3884
23	93	3784
24	94	3667
25	95	3579
26	97	3519
27	99	3437
28	101	3385
29	102	3318
30	104	3254
31	105	3192
32	107	3158
33	109	3109
34	111	3061
35	112	3016
36	114	2975
37	115	2934
38	117	2897
39	119	2856
40	120	2822
41	122	2792
42	123	2755
43	125	2727
44	127	2714
45	129	2687
46	131	2658
47	132	2631
48	134	2605
49	135	2578
50	136	2544
51	138	2519
52	139	2495
53	141	2474
54	142	2452
55	144	2430
56	145	2410
57	147	2394
58	149	2378
59	150	2361
60	152	2345
61	153	2329
62	155	2313
63	156	2289
64	158	2275
65	159	2259
66	161	2245
67	162	2232
68	164	2222
69	166	2209
70	168	2198
71	169	2186
72	171	2173
73	172	2161
74	174	2151
75	176	2141
76	177	2131
77	179	2120
78	181	2112
79	182	2101
80	184	2092
81	185	2080
82	187	2067
83	188	2058
84	190	2046
85	191	2036
86	193	2028
87	194	2019
88	196	2010
89	197	2001
90	199	1994
91	201	1986
92	202	1976
93	204	1970
94	205	1962
95	207	1954
96	209	1946
97	210	1937
98	211	1928
99	213	1920
100	214	1912
101	216	1904
102	217	1895
103	219	1886
104	220	1878
105	221	1864
106	222	1856
107	223	1849
108	225	1841
109	226	1834
110	228	1826
111	229	1820
112	230	1812
113	232	1805
114	233	1799
115	235	1792
116	236	1786
117	238	1779
118	239	1773
119	240	1767
120	241	1754
121	242	1745
122	243	1739
123	245	1733
124	245	1721
125	247	1718
126	249	1712
127	250	1706
128	251	1701
129	253	1696
130	254	1690
131	256	1685
132	257	1680
133	259	1674
134	260	1669
135	262	1664
136	263	1659
137	264	1653
138	265	1645
139	266	1639
140	268	1634
141	269	1630
142	271	1625
143	272	1622
144	274	1617
145	275	1612
146	276	1604
147	278	1600
148	279	1595
149	280	1591
150	282	1586
151	283	1582
152	284	1577
153	286	1572
154	287	1568
155	289	1563
156	290	1559
157	291	1555
158	293	1551
159	295	1550
160	296	1546
161	298	1542
162	299	1538
163	300	1534
164	302	1530
165	303	1526
166	305	1522
167	306	1518
168	308	1515
169	309	1513
170	311	1510
171	313	1507
172	314	1504
173	316	1500
174	317	1498
175	319	1495
176	320	1491
177	322	1488
178	323	1485
179	325	1482
180	327	1481
181	328	1478
182	330	1475
183	331	1468
184	332	1465
185	334	1462
186	335	1459
187	337	1456
188	338	1451
189	339	1449
190	341	1447
191	343	1443
192	344	1440
193	346	1437
194	347	1434
195	349	1432
196	350	1427
197	351	1423
198	353	1420
199	354	1418
200	356	1416
201	357	1413
202	359	1410
203	360	1407
204	362	1404
205	363	1401
206	365	1399
207	366	1397
208	368	1395
209	370	1393
210	371	1390
211	373	1390
212	375	1387
213	377	1385
214	378	1382
215	380	1379
216	381	1377
217	383	1374
218	384	1371
219	386	1369
220	387	1366
221	388	1362
222	390	1359
223	391	1357
224	393	1355
225	394	1352
226	396	1350
227	398	1348
228	399	1345
229	401	1343
230	403	1342
231	404	1340
232	406	1338
233	408	1336
234	409	1333
235	411	1332
236	412	1329
237	414	1326
238	415	1323
239	417	1320
240	418	1317
241	419	1315
242	421	1312
243	422	1309
244	423	1306
245	425	1303
246	426	1300
247	428	1298
248	429	1295
249	430	1292
250	431	1286
251	432	1283
252	433	1281
253	435	1278
254	436	1275
255	438	1273
256	439	1271
257	441	1268
258	441	1263
259	443	1261
260	444	1259
261	446	1257
262	447	1255
263	449	1252
264	450	1250
265	452	1247
266	453	1245
267	455	1243
268	456	1240
269	457	1238
270	459	1235
271	460	1232
272	462	1230
273	463	1227
274	464	1225
275	466	1223
276	467	1220
277	469	1218
